name,node_id,physical_node_id,x_coord,y_coord,route_type,route_id,node_type,directed_route_id,directed_service_id,zone_id,agency_name,geometry,terminal_flag,ctrl_type,agent_type
72011,1000001,1000001,-122.391612,37.795106,4,RCH,,,,,San Francisco Bay Ferry,POINT (-122.391612 37.795106),1,,
72012,1000002,1000002,-122.39093,37.79439,4,OA,,,,,San Francisco Bay Ferry,POINT (-122.39093 37.79439),1,,
72013,1000003,1000003,-122.39125,37.79476,4,HB,,,,,San Francisco Bay Ferry,POINT (-122.39125 37.79476),1,,
7205,1000004,1000004,-122.377245,37.662676,4,SSF,,,,,San Francisco Bay Ferry,POINT (-122.377245 37.662676),1,,
7206,1000005,1000005,-122.25692,37.7366,4,HB,,,,,San Francisco Bay Ferry,POINT (-122.25692 37.7366),1,,
7207,1000006,1000006,-122.29832,37.77717,4,SEA,,,,,San Francisco Bay Ferry,POINT (-122.29832 37.77717),1,,
7208,1000007,1000007,-122.29398,37.79076,4,SSF,,,,,San Francisco Bay Ferry,POINT (-122.29398 37.79076),1,,
7209,1000008,1000008,-122.27976,37.79509,4,OA,,,,,San Francisco Bay Ferry,POINT (-122.27976 37.79509),1,,
7211,1000009,1000009,-122.35925,37.90951,4,RCH,,,,,San Francisco Bay Ferry,POINT (-122.35925 37.90951),1,,
7212,1000010,1000010,-122.26263,38.10012,4,VJO,,,,,San Francisco Bay Ferry,POINT (-122.26263 38.10012),1,,
7213,1000011,1000011,-122.26949,38.10127,4,VJO,,,,,San Francisco Bay Ferry,POINT (-122.26949 38.10127),1,,
HB.1.72013:1;2,1500001,1000003,-122.39135,37.79465999999999,4,HB,,HB.1,HB.1:1;2,,San Francisco Bay Ferry,POINT (-122.39135 37.79465999999999),1,,
HB.1.7206:1;2,1500002,1000005,-122.25702,37.7365,4,HB,,HB.1,HB.1:1;2,,San Francisco Bay Ferry,POINT (-122.25702 37.7365),1,,
HB.2.72013:1;2,1500003,1000003,-122.39135,37.79465999999999,4,HB,,HB.2,HB.2:1;2,,San Francisco Bay Ferry,POINT (-122.39135 37.79465999999999),1,,
HB.2.7206:1;2,1500004,1000005,-122.25702,37.7365,4,HB,,HB.2,HB.2:1;2,,San Francisco Bay Ferry,POINT (-122.25702 37.7365),1,,
OA.1.72012:1;2,1500005,1000002,-122.39103,37.79429,4,OA,,OA.1,OA.1:1;2,,San Francisco Bay Ferry,POINT (-122.39103 37.79429),1,,
OA.1.7209:1;2,1500006,1000008,-122.27986,37.79499,4,OA,,OA.1,OA.1:1;2,,San Francisco Bay Ferry,POINT (-122.27986 37.79499),1,,
OA.2.72012:1;2,1500007,1000002,-122.39103,37.79429,4,OA,,OA.2,OA.2:1;2,,San Francisco Bay Ferry,POINT (-122.39103 37.79429),1,,
OA.2.7209:1;2,1500008,1000008,-122.27986,37.79499,4,OA,,OA.2,OA.2:1;2,,San Francisco Bay Ferry,POINT (-122.27986 37.79499),1,,
RCH.1.72011:1;2,1500009,1000001,-122.391712,37.795005999999994,4,RCH,,RCH.1,RCH.1:1;2,,San Francisco Bay Ferry,POINT (-122.391712 37.795005999999994),1,,
RCH.1.72012:1;2,1500010,1000002,-122.39103,37.79429,4,RCH,,RCH.1,RCH.1:1;2,,San Francisco Bay Ferry,POINT (-122.39103 37.79429),1,,
RCH.1.7211:1;2,1500011,1000009,-122.35935,37.909409999999994,4,RCH,,RCH.1,RCH.1:1;2,,San Francisco Bay Ferry,POINT (-122.35935 37.909409999999994),1,,
RCH.2.72011:1;2,1500012,1000001,-122.391712,37.795005999999994,4,RCH,,RCH.2,RCH.2:1;2,,San Francisco Bay Ferry,POINT (-122.391712 37.795005999999994),1,,
RCH.2.7211:1;2,1500013,1000009,-122.35935,37.909409999999994,4,RCH,,RCH.2,RCH.2:1;2,,San Francisco Bay Ferry,POINT (-122.35935 37.909409999999994),1,,
SEA.1.72012:1;2,1500014,1000002,-122.39103,37.79429,4,SEA,,SEA.1,SEA.1:1;2,,San Francisco Bay Ferry,POINT (-122.39103 37.79429),1,,
SEA.1.72013:1;2,1500015,1000003,-122.39135,37.79465999999999,4,SEA,,SEA.1,SEA.1:1;2,,San Francisco Bay Ferry,POINT (-122.39135 37.79465999999999),1,,
SEA.1.7207:1;2,1500016,1000006,-122.29842000000001,37.777069999999995,4,SEA,,SEA.1,SEA.1:1;2,,San Francisco Bay Ferry,POINT (-122.29842000000001 37.777069999999995),1,,
SEA.2.72013:1;2,1500017,1000003,-122.39135,37.79465999999999,4,SEA,,SEA.2,SEA.2:1;2,,San Francisco Bay Ferry,POINT (-122.39135 37.79465999999999),1,,
SEA.2.7207:1;2,1500018,1000006,-122.29842000000001,37.777069999999995,4,SEA,,SEA.2,SEA.2:1;2,,San Francisco Bay Ferry,POINT (-122.29842000000001 37.777069999999995),1,,
SSF.1.7205:1;2;3,1500019,1000004,-122.377345,37.662575999999994,4,SSF,,SSF.1,SSF.1:1;2;3,,San Francisco Bay Ferry,POINT (-122.377345 37.662575999999994),1,,
SSF.1.7208:1;2;3,1500020,1000007,-122.29408000000001,37.790659999999995,4,SSF,,SSF.1,SSF.1:1;2;3,,San Francisco Bay Ferry,POINT (-122.29408000000001 37.790659999999995),1,,
SSF.1.7209:1;2;3,1500021,1000008,-122.27986,37.79499,4,SSF,,SSF.1,SSF.1:1;2;3,,San Francisco Bay Ferry,POINT (-122.27986 37.79499),0,,
SSF.2.7205:1;2,1500022,1000004,-122.377345,37.662575999999994,4,SSF,,SSF.2,SSF.2:1;2,,San Francisco Bay Ferry,POINT (-122.377345 37.662575999999994),1,,
SSF.2.7208:1;2,1500023,1000007,-122.29408000000001,37.790659999999995,4,SSF,,SSF.2,SSF.2:1;2,,San Francisco Bay Ferry,POINT (-122.29408000000001 37.790659999999995),1,,
VJO.1.72011:1;2,1500024,1000001,-122.391712,37.795005999999994,4,VJO,,VJO.1,VJO.1:1;2,,San Francisco Bay Ferry,POINT (-122.391712 37.795005999999994),1,,
VJO.1.72011:1;2;3,1500025,1000001,-122.391712,37.795005999999994,4,VJO,,VJO.1,VJO.1:1;2;3,,San Francisco Bay Ferry,POINT (-122.391712 37.795005999999994),1,,
VJO.1.7212:1;2,1500026,1000010,-122.26273,38.100019999999994,4,VJO,,VJO.1,VJO.1:1;2,,San Francisco Bay Ferry,POINT (-122.26273 38.100019999999994),1,,
VJO.1.7212:1;2;3,1500027,1000010,-122.26273,38.100019999999994,4,VJO,,VJO.1,VJO.1:1;2;3,,San Francisco Bay Ferry,POINT (-122.26273 38.100019999999994),0,,
VJO.1.7213:1;2;3,1500028,1000011,-122.26959000000001,38.101169999999996,4,VJO,,VJO.1,VJO.1:1;2;3,,San Francisco Bay Ferry,POINT (-122.26959000000001 38.101169999999996),1,,
VJO.2.72011:1;2,1500029,1000001,-122.391712,37.795005999999994,4,VJO,,VJO.2,VJO.2:1;2,,San Francisco Bay Ferry,POINT (-122.391712 37.795005999999994),1,,
VJO.2.7212:1;2,1500030,1000010,-122.26273,38.100019999999994,4,VJO,,VJO.2,VJO.2:1;2,,San Francisco Bay Ferry,POINT (-122.26273 38.100019999999994),1,,
