link_id,from_node_id,to_node_id,facility_type,dir_flag,directed_route_id,link_type,link_type_name,length,lanes,capacity,free_speed,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_penalty1,geometry,VDF_allowed_uses1,agency_name,stop_sequence,directed_service_id
1000001,1500001,1500002,bus,1,Blue-48.1,1,service_links,2436.7678188829004,11,999999,20.883597933577207,0,7.0,10999989,0.15,4,0,"LINESTRING (-122.283025 47.663531, -122.256796 47.676503)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,1,Blue-48.1:1;2
1000002,1500004,1500003,bus,1,Blue-48.2,1,service_links,2436.7678188829004,13,999999,20.883597933577207,0,7.0,12999987,0.15,4,0,"LINESTRING (-122.256796 47.676503, -122.283025 47.663531)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,1,Blue-48.2:1;2
1000003,1500006,1500005,bus,1,Gold-48.1,1,service_links,2050.6238967700037,5,999999,15.377757006149261,0,8.0,4999995,0.15,4,0,"LINESTRING (-122.283025 47.663531, -122.303604 47.651367)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,1,Gold-48.1:1;2
1000004,1500007,1500008,bus,1,Gold-48.2,1,service_links,2050.6238967700037,4,999999,17.574265648650226,0,7.0,3999996,0.15,4,0,"LINESTRING (-122.303604 47.651367, -122.283025 47.663531)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,1,Gold-48.2:1;2
1000005,1500009,1500010,bus,1,Pink-48.1,1,service_links,1321.0712902787086,16,999999,11.321850795132482,0,7.0,15999984,0.15,4,0,"LINESTRING (-122.283025 47.663531, -122.298813 47.658232)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,1,Pink-48.1:1;2
1000006,1500012,1500011,bus,1,Pink-48.2,1,service_links,1321.0712902787086,18,999999,15.849685546235253,0,5.0,17999982,0.15,4,0,"LINESTRING (-122.298813 47.658232, -122.283025 47.663531)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,1,Pink-48.2:1;2
1000007,1500013,1500014,bus,1,Purp-48.1,1,service_links,2612.943863003468,3,999999,15.67609556846396,0,10.0,2999997,0.15,4,0,"LINESTRING (-122.283025 47.663531, -122.317474 47.659806)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,1,Purp-48.1:1;2
1000008,1500016,1500015,bus,1,Purp-48.2,1,service_links,2612.943863003468,4,999999,15.67609556846396,0,10.0,3999996,0.15,4,0,"LINESTRING (-122.317474 47.659806, -122.283025 47.663531)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,1,Purp-48.2:1;2
1000009,1500017,1500018,bus,1,Ylw-48.1,1,service_links,1349.6395163919356,5,999999,13.49414613956276,0,6.0,4999995,0.15,4,0,"LINESTRING (-122.283025 47.663531, -122.269723 47.671721)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,1,Ylw-48.1:1;2
1000010,1500020,1500019,bus,1,Ylw-48.2,1,service_links,1349.6395163919356,6,999999,13.49414613956276,0,6.0,5999994,0.15,4,0,"LINESTRING (-122.269723 47.671721, -122.283025 47.663531)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,1,Ylw-48.2:1;2
1000010,1000002,1500001,bus,1,Blue-48.1,2,boarding_links,13.406163332254595,1,999999,2.0,0,2.727272727272727,999999,0.15,4,0,"LINESTRING (-122.283125 47.663430999999996, -122.283025 47.663531)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Blue-48.1.755000:1;2
1000011,1500001,1000002,bus,1,Blue-48.1,2,boarding_links,13.406163332254595,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.283125 47.663430999999996, -122.283025 47.663531)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Blue-48.1.755000:1;2
1000012,1000005,1500002,bus,1,Blue-48.1,2,boarding_links,13.405123776758119,1,999999,2.0,0,2.727272727272727,999999,0.15,4,0,"LINESTRING (-122.256896 47.67640299999999, -122.256796 47.676503)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Blue-48.1.755008:1;2
1000013,1500002,1000005,bus,1,Blue-48.1,2,boarding_links,13.405123776758119,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.256896 47.67640299999999, -122.256796 47.676503)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Blue-48.1.755008:1;2
1000014,1000002,1500003,bus,1,Blue-48.2,2,boarding_links,13.406163332254595,1,999999,2.0,0,2.3076923076923075,999999,0.15,4,0,"LINESTRING (-122.283125 47.663430999999996, -122.283025 47.663531)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Blue-48.2.755000:1;2
1000015,1500003,1000002,bus,1,Blue-48.2,2,boarding_links,13.406163332254595,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.283125 47.663430999999996, -122.283025 47.663531)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Blue-48.2.755000:1;2
1000016,1000005,1500004,bus,1,Blue-48.2,2,boarding_links,13.405123776758119,1,999999,2.0,0,2.3076923076923075,999999,0.15,4,0,"LINESTRING (-122.256896 47.67640299999999, -122.256796 47.676503)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Blue-48.2.755008:1;2
1000017,1500004,1000005,bus,1,Blue-48.2,2,boarding_links,13.405123776758119,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.256896 47.67640299999999, -122.256796 47.676503)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Blue-48.2.755008:1;2
1000018,1000001,1500005,bus,1,Gold-48.1,2,boarding_links,13.407138102558848,1,999999,2.0,0,6.0,999999,0.15,4,0,"LINESTRING (-122.30370400000001 47.651267, -122.303604 47.651367)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Gold-48.1.25765:1;2
1000019,1500005,1000001,bus,1,Gold-48.1,2,boarding_links,13.407138102558848,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.30370400000001 47.651267, -122.303604 47.651367)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Gold-48.1.25765:1;2
1000020,1000002,1500006,bus,1,Gold-48.1,2,boarding_links,13.406163332254595,1,999999,2.0,0,6.0,999999,0.15,4,0,"LINESTRING (-122.283125 47.663430999999996, -122.283025 47.663531)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Gold-48.1.755000:1;2
1000021,1500006,1000002,bus,1,Gold-48.1,2,boarding_links,13.406163332254595,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.283125 47.663430999999996, -122.283025 47.663531)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Gold-48.1.755000:1;2
1000022,1000001,1500007,bus,1,Gold-48.2,2,boarding_links,13.407138102558848,1,999999,2.0,0,7.5,999999,0.15,4,0,"LINESTRING (-122.30370400000001 47.651267, -122.303604 47.651367)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Gold-48.2.25765:1;2
1000023,1500007,1000001,bus,1,Gold-48.2,2,boarding_links,13.407138102558848,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.30370400000001 47.651267, -122.303604 47.651367)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Gold-48.2.25765:1;2
1000024,1000002,1500008,bus,1,Gold-48.2,2,boarding_links,13.406163332254595,1,999999,2.0,0,7.5,999999,0.15,4,0,"LINESTRING (-122.283125 47.663430999999996, -122.283025 47.663531)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Gold-48.2.755000:1;2
1000025,1500008,1000002,bus,1,Gold-48.2,2,boarding_links,13.406163332254595,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.283125 47.663430999999996, -122.283025 47.663531)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Gold-48.2.755000:1;2
1000026,1000002,1500009,bus,1,Pink-48.1,2,boarding_links,13.406163332254595,1,999999,2.0,0,1.875,999999,0.15,4,0,"LINESTRING (-122.283125 47.663430999999996, -122.283025 47.663531)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Pink-48.1.755000:1;2
1000027,1500009,1000002,bus,1,Pink-48.1,2,boarding_links,13.406163332254595,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.283125 47.663430999999996, -122.283025 47.663531)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Pink-48.1.755000:1;2
1000028,1000004,1500010,bus,1,Pink-48.1,2,boarding_links,13.406587975154956,1,999999,2.0,0,1.875,999999,0.15,4,0,"LINESTRING (-122.298913 47.658131999999995, -122.298813 47.658232)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Pink-48.1.755006:1;2
1000029,1500010,1000004,bus,1,Pink-48.1,2,boarding_links,13.406587975154956,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.298913 47.658131999999995, -122.298813 47.658232)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Pink-48.1.755006:1;2
1000030,1000002,1500011,bus,1,Pink-48.2,2,boarding_links,13.406163332254595,1,999999,2.0,0,1.6666666666666667,999999,0.15,4,0,"LINESTRING (-122.283125 47.663430999999996, -122.283025 47.663531)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Pink-48.2.755000:1;2
1000031,1500011,1000002,bus,1,Pink-48.2,2,boarding_links,13.406163332254595,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.283125 47.663430999999996, -122.283025 47.663531)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Pink-48.2.755000:1;2
1000032,1000004,1500012,bus,1,Pink-48.2,2,boarding_links,13.406587975154956,1,999999,2.0,0,1.6666666666666667,999999,0.15,4,0,"LINESTRING (-122.298913 47.658131999999995, -122.298813 47.658232)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Pink-48.2.755006:1;2
1000033,1500012,1000004,bus,1,Pink-48.2,2,boarding_links,13.406587975154956,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.298913 47.658131999999995, -122.298813 47.658232)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Pink-48.2.755006:1;2
1000034,1000002,1500013,bus,1,Purp-48.1,2,boarding_links,13.406163332254595,1,999999,2.0,0,10.0,999999,0.15,4,0,"LINESTRING (-122.283125 47.663430999999996, -122.283025 47.663531)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Purp-48.1.755000:1;2
1000035,1500013,1000002,bus,1,Purp-48.1,2,boarding_links,13.406163332254595,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.283125 47.663430999999996, -122.283025 47.663531)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Purp-48.1.755000:1;2
1000036,1000006,1500014,bus,1,Purp-48.1,2,boarding_links,13.406461841067175,1,999999,2.0,0,10.0,999999,0.15,4,0,"LINESTRING (-122.31757400000001 47.659706, -122.317474 47.659806)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Purp-48.1.755009:1;2
1000037,1500014,1000006,bus,1,Purp-48.1,2,boarding_links,13.406461841067175,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.31757400000001 47.659706, -122.317474 47.659806)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Purp-48.1.755009:1;2
1000038,1000002,1500015,bus,1,Purp-48.2,2,boarding_links,13.406163332254595,1,999999,2.0,0,7.5,999999,0.15,4,0,"LINESTRING (-122.283125 47.663430999999996, -122.283025 47.663531)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Purp-48.2.755000:1;2
1000039,1500015,1000002,bus,1,Purp-48.2,2,boarding_links,13.406163332254595,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.283125 47.663430999999996, -122.283025 47.663531)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Purp-48.2.755000:1;2
1000040,1000006,1500016,bus,1,Purp-48.2,2,boarding_links,13.406461841067175,1,999999,2.0,0,7.5,999999,0.15,4,0,"LINESTRING (-122.31757400000001 47.659706, -122.317474 47.659806)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Purp-48.2.755009:1;2
1000041,1500016,1000006,bus,1,Purp-48.2,2,boarding_links,13.406461841067175,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.31757400000001 47.659706, -122.317474 47.659806)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Purp-48.2.755009:1;2
1000042,1000002,1500017,bus,1,Ylw-48.1,2,boarding_links,13.406163332254595,1,999999,2.0,0,6.0,999999,0.15,4,0,"LINESTRING (-122.283125 47.663430999999996, -122.283025 47.663531)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Ylw-48.1.755000:1;2
1000043,1500017,1000002,bus,1,Ylw-48.1,2,boarding_links,13.406163332254595,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.283125 47.663430999999996, -122.283025 47.663531)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Ylw-48.1.755000:1;2
1000044,1000003,1500018,bus,1,Ylw-48.1,2,boarding_links,13.405507002910163,1,999999,2.0,0,6.0,999999,0.15,4,0,"LINESTRING (-122.269823 47.671620999999995, -122.269723 47.671721)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Ylw-48.1.755005:1;2
1000045,1500018,1000003,bus,1,Ylw-48.1,2,boarding_links,13.405507002910163,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.269823 47.671620999999995, -122.269723 47.671721)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Ylw-48.1.755005:1;2
1000046,1000002,1500019,bus,1,Ylw-48.2,2,boarding_links,13.406163332254595,1,999999,2.0,0,5.0,999999,0.15,4,0,"LINESTRING (-122.283125 47.663430999999996, -122.283025 47.663531)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Ylw-48.2.755000:1;2
1000047,1500019,1000002,bus,1,Ylw-48.2,2,boarding_links,13.406163332254595,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.283125 47.663430999999996, -122.283025 47.663531)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Ylw-48.2.755000:1;2
1000048,1000003,1500020,bus,1,Ylw-48.2,2,boarding_links,13.405507002910163,1,999999,2.0,0,5.0,999999,0.15,4,0,"LINESTRING (-122.269823 47.671620999999995, -122.269723 47.671721)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Ylw-48.2.755005:1;2
1000049,1500020,1000003,bus,1,Ylw-48.2,2,boarding_links,13.405507002910163,1,999999,2.0,0,1.0,999999,0.15,4,0,"LINESTRING (-122.269823 47.671620999999995, -122.269723 47.671721)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Seattle Children's Hospital,-1,Ylw-48.2.755005:1;2
